frame_id,steering_angle,gaus_preds
1479425441182877835,-0.0169280299332,-0.04264013789840882
1479425441232704425,-0.0157079640776,-0.04263412957076434
1479425441282730750,-0.0157079640776,-0.04261925015202781
1479425441332806714,-0.0157079640776,-0.04258970695424997
1479425441382790272,-0.0157079640776,-0.04253703298838892
1479425441432724303,-0.0174532923847,-0.0424509959541377
1479425441482746958,-0.0191986225545,-0.04231957889362839
1479425441532802506,-0.0205366131543,-0.04212844773274713
1479425441582725165,-0.023136996461299998,-0.041863479517595614
1479425441632720892,-0.0292430744302,-0.041510209530894966
1479425441682732948,-0.0410089294776,-0.04105360675100436
1479425441732800574,-0.0514905581597,-0.04048064735297013
1479425441782737331,-0.054105207324,-0.03977862758101359
1479425441832816004,-0.054105207324,-0.0389374420003752
1479425441882830087,-0.054105207324,-0.03794872115188766
1479425441932849879,-0.054105207324,-0.036806915112686606
1479425441982783223,-0.0523598790169,-0.03550932983554808
1479425442032874172,-0.0523598790169,-0.0340570096224327
1479425442082758552,-0.0519790866065,-0.03245476595668619
1479425442132852121,-0.047615215542199996,-0.030711119764843336
1479425442182761838,-0.041158638857900005,-0.028838415073823252
1479425442232828524,-0.0336691472673,-0.026852842576126953
1479425442282862682,-0.029670597985400005,-0.024774467392391728
1479425442332893792,-0.029670597985400005,-0.022626888698734002
1479425442382858459,-0.029670597985400005,-0.020437176027574465
1479425442432797491,-0.029670597985400005,-0.018235310379783518
1479425442482899263,-0.029670597985400005,-0.016053524041784766
1479425442532771570,-0.029670597985400005,-0.013925896759818285
1479425442582809345,-0.029670597985400005,-0.011887073210922278
1479425442632821093,-0.029670597985400005,-0.00997210872269139
1479425442682747552,-0.0279252678156,-0.008215080609621462
1479425442732806572,-0.0290803139823,-0.006648536353604486
1479425442782862182,-0.0314159281552,-0.005302400210307025
1479425442832833025,-0.0314159281552,-0.004203305043298069
1479425442882822631,-0.029938993423700003,-0.003374376167701567
1479425442932809867,-0.032550197574999995,-0.002834321766213206
1479425442982805056,-0.033161256462300004,-0.0025969741848329156
1479425443032823520,-0.033161256462300004,-0.0026715608571051363
1479425443082812203,-0.0349065847695,-0.003062203137348992
1479425443132827444,-0.0349065847695,-0.003768128533745945
1479425443182854411,-0.0458284500335,-0.004784434519797482
1479425443232861030,-0.0523598790169,-0.0061018453887025466
1479425443282879357,-0.046907210769,-0.007707483241876595
1479425443332896491,-0.04080519479440001,-0.009585802620762878
1479425443382879593,-0.0399417449655,-0.011718192315063701
1479425443432903742,-0.038397245109099996,-0.01408433389309654
1479425443483016593,-0.038199009205300005,-0.016662271511797676
1479425443533017775,-0.0327786357097,-0.019428776452206253
1479425443582977575,-0.027746404852900003,-0.022360272830480917
1479425443632945821,-0.024434609338599998,-0.025432498477515136
1479425443682982187,-0.0226892810315,-0.028620711713942454
